temperature, lluvia, humedad, rend_manz
37.00,59.00,74.00,59.90
30.00,32.00,85.00,57.90
93.00,88.00,73.00,82.00
25.00,54.00,30.00,33.30
37.00,30.00,97.00,65.60
41.00,40.00,97.00,68.80
81.00,62.00,73.00,73.20
31.00,31.00,96.00,63.50
46.00,41.00,80.00,62.00
20.00,28.00,86.00,54.60
95.00,49.00,62.00,69.30
33.00,32.00,44.00,38.30
38.00,82.00,43.00,49.30
48.00,84.00,24.00,43.20
73.00,51.00,60.00,62.10
98.00,75.00,52.00,70.40
23.00,61.00,65.00,51.60
86.00,79.00,39.00,61.10
54.00,47.00,75.00,63.10
24.00,81.00,60.00,53.40
26.00,22.00,94.00,59.20
40.00,47.00,48.00,45.40
60.00,58.00,39.00,49.10
52.00,34.00,40.00,42.40
80.00,54.00,89.00,79.30
61.00,23.00,71.00,58.40
73.00,30.00,95.00,75.40
99.00,57.00,69.00,75.60
26.00,82.00,59.00,53.70
49.00,24.00,24.00,31.50
75.00,60.00,58.00,63.50
27.00,54.00,48.00,42.90
87.00,31.00,77.00,70.80
85.00,50.00,97.00,84.00
74.00,23.00,69.00,61.30
70.00,92.00,78.00,78.40
44.00,96.00,82.00,73.40
27.00,70.00,38.00,41.10
54.00,62.00,58.00,57.60
67.00,60.00,21.00,42.60
73.00,26.00,41.00,47.60
90.00,75.00,89.00,86.50
87.00,43.00,97.00,83.20
69.00,35.00,75.00,65.20
69.00,83.00,35.00,54.80
39.00,87.00,26.00,42.10
98.00,75.00,86.00,87.40
86.00,33.00,75.00,69.90
26.00,96.00,62.00,58.00
20.00,97.00,58.00,54.40
20.00,37.00,45.00,35.90
77.00,64.00,88.00,79.90
67.00,47.00,55.00,57.00
39.00,37.00,97.00,67.60
80.00,45.00,82.00,74.00
84.00,59.00,55.00,64.50
42.00,71.00,22.00,37.80
51.00,70.00,43.00,50.80
70.00,60.00,23.00,44.50
52.00,56.00,41.00,47.30
23.00,22.00,73.00,47.80
55.00,30.00,75.00,60.00
98.00,78.00,85.00,87.50
50.00,79.00,33.00,47.30
68.00,77.00,40.00,55.80
25.00,45.00,66.00,49.50
69.00,93.00,51.00,64.80
52.00,91.00,67.00,67.30
40.00,61.00,81.00,64.70
98.00,65.00,25.00,54.90
65.00,83.00,39.00,55.60
97.00,22.00,27.00,47.00
92.00,44.00,77.00,74.90
78.00,21.00,71.00,63.10
72.00,70.00,93.00,82.10
60.00,83.00,21.00,45.10
90.00,55.00,57.00,66.50
69.00,92.00,45.00,61.60
89.00,81.00,86.00,85.90
64.00,62.00,44.00,53.60
49.00,86.00,61.00,62.40
41.00,68.00,94.00,72.90
49.00,41.00,31.00,38.40
62.00,66.00,83.00,73.30
61.00,26.00,65.00,56.00
50.00,96.00,24.00,46.20
55.00,22.00,45.00,43.40
26.00,97.00,40.00,47.20
46.00,61.00,90.00,71.00
22.00,64.00,71.00,54.90
92.00,33.00,53.00,60.70
76.00,86.00,95.00,87.50
48.00,96.00,99.00,83.10
66.00,85.00,85.00,79.30
35.00,39.00,84.00,60.30
81.00,60.00,65.00,68.80
21.00,31.00,61.00,43.00
41.00,39.00,45.00,42.60
84.00,25.00,20.00,40.20
38.00,82.00,54.00,54.80
54.00,44.00,68.00,59.00
71.00,43.00,67.00,63.40
99.00,85.00,99.00,96.20
77.00,53.00,54.00,60.70
50.00,76.00,80.00,70.20
53.00,36.00,79.00,62.60
93.00,29.00,87.00,77.20
78.00,46.00,47.00,56.10
22.00,76.00,87.00,65.30
53.00,43.00,78.00,63.50
47.00,33.00,22.00,31.70
23.00,46.00,24.00,28.10
95.00,33.00,41.00,55.60
41.00,53.00,44.00,44.90
82.00,95.00,38.00,62.60
50.00,39.00,68.00,56.80
99.00,96.00,50.00,73.90
84.00,61.00,99.00,86.90
31.00,92.00,59.00,57.20
51.00,58.00,49.00,51.40
92.00,53.00,32.00,54.20
95.00,77.00,62.00,74.90
85.00,50.00,66.00,68.50
94.00,34.00,92.00,81.00
43.00,73.00,55.00,55.00
24.00,42.00,28.00,29.60
76.00,35.00,74.00,66.80
30.00,49.00,39.00,38.30
99.00,83.00,39.00,65.80
79.00,99.00,74.00,80.50
26.00,38.00,77.00,53.90
62.00,43.00,49.00,51.70
65.00,45.00,32.00,44.50
89.00,20.00,78.00,69.70
47.00,71.00,95.00,75.80
40.00,97.00,31.00,46.90
51.00,73.00,78.00,68.90
33.00,87.00,25.00,39.80
86.00,49.00,26.00,48.60
35.00,40.00,92.00,64.50
92.00,27.00,30.00,48.00
76.00,63.00,92.00,81.40
56.00,90.00,84.00,76.80
52.00,43.00,77.00,62.70
62.00,65.00,27.00,45.10
42.00,47.00,79.00,61.50
53.00,25.00,52.00,46.90
39.00,24.00,87.00,60.00
26.00,92.00,23.00,37.70
21.00,88.00,74.00,60.90
98.00,53.00,82.00,81.00
60.00,48.00,25.00,40.10
48.00,98.00,82.00,75.00
45.00,47.00,73.00,59.40
60.00,36.00,87.00,68.70
60.00,58.00,82.00,70.60
79.00,61.00,32.00,51.90
29.00,53.00,64.00,51.30
78.00,52.00,89.00,78.30
29.00,70.00,26.00,35.70
88.00,53.00,79.00,76.50
64.00,51.00,67.00,62.90
86.00,83.00,41.00,62.90
56.00,79.00,91.00,78.10
81.00,43.00,71.00,68.40
57.00,81.00,23.00,44.80
99.00,81.00,94.00,92.90
40.00,93.00,75.00,68.10
42.00,68.00,66.00,59.20
65.00,29.00,36.00,43.30
40.00,21.00,30.00,31.20
82.00,68.00,43.00,59.70
36.00,26.00,35.00,33.50
53.00,62.00,92.00,74.30
57.00,64.00,35.00,47.40
77.00,82.00,82.00,80.50
65.00,25.00,25.00,37.00
83.00,31.00,52.00,57.10
80.00,38.00,78.00,70.60
77.00,63.00,66.00,68.70
56.00,32.00,67.00,56.70
46.00,69.00,82.00,68.60
27.00,98.00,27.00,41.20
86.00,49.00,24.00,47.60
97.00,83.00,94.00,92.70
93.00,49.00,88.00,81.70
75.00,80.00,58.00,67.50
80.00,98.00,63.00,75.10
44.00,62.00,43.00,47.10
87.00,23.00,41.00,51.20
44.00,73.00,52.00,53.80
68.00,35.00,99.00,76.90
46.00,96.00,66.00,66.00
90.00,49.00,48.00,60.80
94.00,47.00,53.00,64.10
46.00,52.00,43.00,45.70
90.00,74.00,66.00,74.80
92.00,24.00,63.00,63.90
61.00,96.00,37.00,56.00
75.00,74.00,68.00,71.30
83.00,21.00,56.00,57.10
20.00,35.00,89.00,57.50
93.00,30.00,31.00,49.40
65.00,96.00,21.00,49.20
63.00,32.00,80.00,65.30
27.00,45.00,83.00,58.60
77.00,68.00,97.00,85.20
84.00,28.00,86.00,73.80
58.00,89.00,62.00,66.20
79.00,87.00,55.00,68.60
52.00,77.00,65.00,63.50
81.00,54.00,26.00,48.10
41.00,56.00,98.00,72.50
23.00,23.00,67.00,45.00
46.00,74.00,44.00,50.60
62.00,33.00,52.00,51.20
31.00,51.00,35.00,37.00
26.00,40.00,62.00,46.80
31.00,43.00,80.00,57.90
22.00,48.00,34.00,33.20
57.00,61.00,25.00,41.80
64.00,93.00,73.00,74.30
90.00,26.00,44.00,54.20
22.00,93.00,49.00,49.70
72.00,64.00,58.00,63.40
26.00,41.00,99.00,65.50
99.00,21.00,95.00,81.40
53.00,52.00,70.00,61.30
22.00,44.00,38.00,34.40
44.00,83.00,25.00,42.30
86.00,73.00,84.00,82.40
46.00,21.00,84.00,60.00
88.00,70.00,85.00,82.90
91.00,43.00,30.00,50.90
30.00,62.00,80.00,61.40
44.00,87.00,32.00,46.60
50.00,59.00,45.00,49.30
78.00,55.00,84.00,76.40
62.00,94.00,69.00,71.90
52.00,76.00,65.00,63.30
85.00,80.00,38.00,60.50
73.00,79.00,81.00,78.20
89.00,94.00,57.00,74.00
37.00,26.00,43.00,37.80
94.00,37.00,66.00,68.60
51.00,31.00,58.00,50.50
37.00,34.00,95.00,65.40
88.00,55.00,45.00,59.90
83.00,40.00,37.00,51.40
36.00,98.00,98.00,79.40
51.00,49.00,90.00,70.10
70.00,96.00,67.00,73.70
57.00,75.00,45.00,54.60
52.00,66.00,47.00,52.30
65.00,44.00,46.00,51.30
80.00,53.00,55.00,62.10
31.00,31.00,44.00,37.50
80.00,99.00,86.00,86.80
76.00,98.00,38.00,61.40
82.00,38.00,52.00,58.20
73.00,20.00,55.00,53.40
55.00,30.00,67.00,56.00
47.00,38.00,87.00,65.20
81.00,84.00,82.00,82.10
37.00,72.00,53.00,52.00
66.00,90.00,78.00,76.80
63.00,90.00,71.00,72.40
60.00,87.00,54.00,62.40
74.00,38.00,64.00,61.80
73.00,81.00,23.00,49.60
49.00,82.00,94.00,78.10
92.00,36.00,78.00,73.80
82.00,62.00,85.00,79.50
76.00,30.00,97.00,77.30
94.00,85.00,77.00,83.70
67.00,85.00,67.00,70.60
65.00,38.00,39.00,46.60
88.00,32.00,77.00,71.30
56.00,35.00,95.00,71.30
92.00,54.00,68.00,72.40
71.00,57.00,89.00,77.20
38.00,43.00,21.00,30.50
99.00,33.00,75.00,73.80
35.00,83.00,41.00,47.60
76.00,44.00,26.00,44.60
73.00,83.00,35.00,56.00
31.00,48.00,77.00,57.40
27.00,89.00,85.00,68.40
24.00,82.00,81.00,64.10
70.00,31.00,87.00,70.70
68.00,41.00,98.00,77.60
46.00,44.00,84.00,64.60
48.00,22.00,29.00,33.30
28.00,48.00,79.00,57.50
78.00,67.00,85.00,79.30
99.00,45.00,71.00,74.20
63.00,49.00,32.00,44.70
85.00,72.00,79.00,79.40
70.00,27.00,53.00,52.90
47.00,98.00,46.00,56.70
44.00,39.00,70.00,56.00
44.00,26.00,62.00,49.40
34.00,52.00,50.00,45.60
92.00,79.00,82.00,84.40
40.00,73.00,23.00,38.10
47.00,73.00,40.00,48.70
38.00,36.00,79.00,58.10
31.00,86.00,75.00,64.00
99.00,43.00,52.00,64.30
26.00,33.00,86.00,57.40
24.00,64.00,57.00,48.50
36.00,49.00,23.00,32.10
87.00,87.00,39.00,63.00
62.00,80.00,70.00,69.60
82.00,67.00,25.00,50.50
62.00,58.00,69.00,64.70
90.00,87.00,42.00,65.40
51.00,54.00,32.00,42.10
36.00,74.00,27.00,39.10
98.00,22.00,60.00,63.80
32.00,82.00,83.00,67.50
78.00,37.00,37.00,49.30
62.00,74.00,26.00,46.40
90.00,83.00,26.00,56.60
77.00,31.00,85.00,71.80
85.00,93.00,61.00,74.60
70.00,45.00,86.00,73.00
57.00,61.00,41.00,49.80
38.00,64.00,72.00,60.20
24.00,31.00,43.00,34.90
60.00,45.00,52.00,53.00
32.00,87.00,86.00,70.00
66.00,83.00,58.00,65.40
62.00,57.00,53.00,56.50
44.00,68.00,88.00,70.80
62.00,42.00,97.00,75.50
21.00,66.00,34.00,36.50
87.00,61.00,91.00,83.80
43.00,49.00,41.00,43.20
25.00,31.00,88.00,57.70
75.00,25.00,35.00,45.00
91.00,86.00,56.00,72.50
68.00,68.00,26.00,47.00
22.00,73.00,73.00,57.70
58.00,54.00,89.00,72.70
45.00,87.00,38.00,49.90
46.00,22.00,40.00,38.20
71.00,90.00,65.00,71.80
88.00,91.00,41.00,65.10
94.00,38.00,23.00,47.30
61.00,96.00,37.00,56.00
26.00,48.00,48.00,41.40
30.00,50.00,29.00,33.50
53.00,97.00,56.00,63.30
62.00,80.00,96.00,82.60
39.00,83.00,63.00,59.80
28.00,87.00,64.00,57.80
55.00,82.00,20.00,42.90
74.00,26.00,23.00,38.90
47.00,51.00,91.00,69.80
25.00,94.00,37.00,44.80
63.00,37.00,46.00,49.30
31.00,23.00,64.00,45.90
68.00,88.00,51.00,63.50
45.00,81.00,89.00,74.20
50.00,28.00,84.00,62.60
68.00,93.00,37.00,57.50
41.00,93.00,95.00,78.40
91.00,92.00,74.00,82.70
67.00,41.00,96.00,76.30
66.00,63.00,81.00,72.90
73.00,40.00,56.00,57.90
23.00,65.00,78.00,58.90
58.00,80.00,36.00,51.40
40.00,26.00,63.00,48.70
44.00,86.00,38.00,49.40
99.00,41.00,99.00,87.40
65.00,40.00,44.00,49.50
79.00,78.00,95.00,86.80
37.00,69.00,39.00,44.40
90.00,91.00,28.00,59.20
38.00,99.00,29.00,45.70
42.00,77.00,91.00,73.50
52.00,30.00,41.00,42.10
72.00,56.00,65.00,65.30
36.00,59.00,87.00,66.10
96.00,63.00,43.00,62.90
99.00,23.00,80.00,74.30
71.00,30.00,47.00,50.80
75.00,40.00,28.00,44.50
24.00,80.00,74.00,60.20
37.00,92.00,85.00,72.00
66.00,26.00,93.00,71.50
93.00,73.00,32.00,58.50
50.00,28.00,33.00,37.10
68.00,52.00,36.00,48.80
23.00,97.00,32.00,42.30
52.00,84.00,38.00,51.40
33.00,37.00,57.00,45.80
50.00,65.00,29.00,42.50
49.00,42.00,64.00,55.10
59.00,44.00,52.00,52.50
32.00,59.00,92.00,67.40
48.00,96.00,67.00,67.10
82.00,37.00,67.00,65.50
36.00,97.00,80.00,70.20
40.00,47.00,97.00,69.90
88.00,97.00,29.00,60.30
56.00,86.00,89.00,78.50
38.00,86.00,55.00,56.10
34.00,85.00,93.00,73.70
83.00,73.00,69.00,74.00
61.00,36.00,33.00,42.00
27.00,75.00,26.00,36.10
94.00,39.00,95.00,83.50
42.00,92.00,21.00,41.50
41.00,57.00,91.00,69.20
92.00,33.00,55.00,61.70
